Date,Close
02-01-2014,556
03-01-2014,551.95
04-01-2014,NaN
05-01-2014,NaN
06-01-2014,558.1
07-01-2014,568.86
08-01-2014,570.04
09-01-2014,564.55
10-01-2014,564.52
11-01-2014,NaN
12-01-2014,NaN
13-01-2014,560.93
14-01-2014,574.13
15-01-2014,573.74
16-01-2014,577.53
17-01-2014,574.69
18-01-2014,NaN
19-01-2014,NaN
20-01-2014,NaN
21-01-2014,581.27
22-01-2014,581.93
23-01-2014,579.47
24-01-2014,561.35
25-01-2014,NaN
26-01-2014,NaN
27-01-2014,550.06
28-01-2014,560.94
29-01-2014,552.91
30-01-2014,567.13
31-01-2014,589.89
01-02-2014,NaN
02-02-2014,NaN
03-02-2014,566.15
04-02-2014,568.51
05-02-2014,571.03
06-02-2014,579.4
07-02-2014,588.13
08-02-2014,NaN
09-02-2014,NaN
10-02-2014,585.88
11-02-2014,594.49
12-02-2014,592.75
13-02-2014,599.35
14-02-2014,600.8
15-02-2014,NaN
16-02-2014,NaN
17-02-2014,NaN
18-02-2014,604.83
19-02-2014,600.57
20-02-2014,601.45
21-02-2014,601.29
22-02-2014,NaN
23-02-2014,NaN
24-02-2014,605.65
25-02-2014,609.39
26-02-2014,609.47
27-02-2014,609
28-02-2014,607.22
01-03-2014,NaN
02-03-2014,NaN
03-03-2014,600.74
04-03-2014,606.85
05-03-2014,608.52
06-03-2014,609.2
07-03-2014,606.79
08-03-2014,NaN
09-03-2014,NaN
10-03-2014,605.18
11-03-2014,599.4
12-03-2014,603.05
13-03-2014,593.94
14-03-2014,585.81
15-03-2014,NaN
16-03-2014,NaN
17-03-2014,595.45
18-03-2014,605.02
19-03-2014,599.03
20-03-2014,597.98
21-03-2014,590.93
22-03-2014,NaN
23-03-2014,NaN
24-03-2014,578.39
25-03-2014,578.78
26-03-2014,565.42
27-03-2014,556.58
28-03-2014,559.51
29-03-2014,NaN
30-03-2014,NaN
31-03-2014,556.7
01-04-2014,566.88
02-04-2014,566.98
03-04-2014,569.74
04-04-2014,543.14
05-04-2014,NaN
06-04-2014,NaN
07-04-2014,538.15
08-04-2014,554.9
09-04-2014,564.14
10-04-2014,540.95
11-04-2014,530.6
12-04-2014,NaN
13-04-2014,NaN
14-04-2014,532.52
15-04-2014,536.44
16-04-2014,556.54
17-04-2014,536.1
18-04-2014,NaN
19-04-2014,NaN
20-04-2014,NaN
21-04-2014,528.62
22-04-2014,534.81
23-04-2014,526.94
24-04-2014,525.16
25-04-2014,516.18
26-04-2014,NaN
27-04-2014,NaN
28-04-2014,517.15
29-04-2014,527.7
30-04-2014,526.66
01-05-2014,531.35
02-05-2014,527.93
03-05-2014,NaN
04-05-2014,NaN
05-05-2014,527.81
06-05-2014,515.14
07-05-2014,509.96
08-05-2014,511
09-05-2014,518.73
10-05-2014,NaN
11-05-2014,NaN
12-05-2014,529.92
13-05-2014,533.09
14-05-2014,526.65
15-05-2014,519.98
16-05-2014,520.63
17-05-2014,NaN
18-05-2014,NaN
19-05-2014,528.86
20-05-2014,529.77
21-05-2014,538.94
22-05-2014,545.06
23-05-2014,552.7
24-05-2014,NaN
25-05-2014,NaN
26-05-2014,NaN
27-05-2014,565.95
28-05-2014,561.68
29-05-2014,560.08
30-05-2014,559.89
31-05-2014,NaN
01-06-2014,NaN
02-06-2014,553.93
03-06-2014,544.94
04-06-2014,544.66
05-06-2014,553.9
06-06-2014,556.33
07-06-2014,NaN
08-06-2014,NaN
09-06-2014,562.12
10-06-2014,560.55
11-06-2014,558.84
12-06-2014,551.35
13-06-2014,551.76
14-06-2014,NaN
15-06-2014,NaN
16-06-2014,544.28
17-06-2014,543.01
18-06-2014,553.37
19-06-2014,554.9
20-06-2014,556.36
21-06-2014,NaN
22-06-2014,NaN
23-06-2014,564.95
24-06-2014,564.62
25-06-2014,578.65
26-06-2014,576
27-06-2014,577.24
28-06-2014,NaN
29-06-2014,NaN
30-06-2014,575.28
01-07-2014,582.67
02-07-2014,582.34
03-07-2014,584.73
04-07-2014,NaN
05-07-2014,NaN
06-07-2014,NaN
07-07-2014,582.25
08-07-2014,571.09
09-07-2014,576.08
10-07-2014,571.1
11-07-2014,579.18
12-07-2014,NaN
13-07-2014,NaN
14-07-2014,584.87
15-07-2014,584.78
16-07-2014,582.66
17-07-2014,573.73
18-07-2014,595.08
19-07-2014,NaN
20-07-2014,NaN
21-07-2014,589.47
22-07-2014,594.74
23-07-2014,595.98
24-07-2014,593.35
25-07-2014,589.02
26-07-2014,NaN
27-07-2014,NaN
28-07-2014,590.6
29-07-2014,585.61
30-07-2014,587.42
31-07-2014,571.6
01-08-2014,566.07
02-08-2014,NaN
03-08-2014,NaN
04-08-2014,573.15
05-08-2014,565.07
06-08-2014,566.37
07-08-2014,563.36
08-08-2014,568.77
09-08-2014,NaN
10-08-2014,NaN
11-08-2014,567.88
12-08-2014,562.73
13-08-2014,574.78
14-08-2014,574.65
15-08-2014,573.48
16-08-2014,NaN
17-08-2014,NaN
18-08-2014,582.16
19-08-2014,586.86
20-08-2014,584.49
21-08-2014,583.37
22-08-2014,582.56
23-08-2014,NaN
24-08-2014,NaN
25-08-2014,580.2
26-08-2014,577.86
27-08-2014,571
28-08-2014,569.2
29-08-2014,571.6
30-08-2014,NaN
31-08-2014,NaN
01-09-2014,NaN
02-09-2014,577.33
03-09-2014,577.94
04-09-2014,581.98
05-09-2014,586.08
06-09-2014,NaN
07-09-2014,NaN
08-09-2014,589.72
09-09-2014,581.01
10-09-2014,583.1
11-09-2014,581.35
12-09-2014,575.62
13-09-2014,NaN
14-09-2014,NaN
15-09-2014,573.1
16-09-2014,579.95
17-09-2014,584.77
18-09-2014,589.27
19-09-2014,596.08
20-09-2014,NaN
21-09-2014,NaN
22-09-2014,587.37
23-09-2014,581.13
24-09-2014,587.99
25-09-2014,575.06
26-09-2014,577.1
27-09-2014,NaN
28-09-2014,NaN
29-09-2014,576.36
30-09-2014,577.36
01-10-2014,568.27
02-10-2014,570.08
03-10-2014,575.28
04-10-2014,NaN
05-10-2014,NaN
06-10-2014,577.35
07-10-2014,563.74
08-10-2014,572.5
09-10-2014,560.88
10-10-2014,544.49
11-10-2014,NaN
12-10-2014,NaN
13-10-2014,533.21
14-10-2014,537.94
15-10-2014,530.03
16-10-2014,524.51
17-10-2014,511.17
18-10-2014,NaN
19-10-2014,NaN
20-10-2014,520.84
21-10-2014,526.54
22-10-2014,532.71
23-10-2014,543.98
24-10-2014,539.78
25-10-2014,NaN
26-10-2014,NaN
27-10-2014,540.77
28-10-2014,548.9
29-10-2014,549.33
30-10-2014,550.31
31-10-2014,559.08
01-11-2014,NaN
02-11-2014,NaN
03-11-2014,555.22
04-11-2014,554.11
05-11-2014,545.92
06-11-2014,542.04
07-11-2014,541.01
08-11-2014,NaN
09-11-2014,NaN
10-11-2014,547.49
11-11-2014,550.29
12-11-2014,547.31
13-11-2014,545.38
14-11-2014,544.4
15-11-2014,NaN
16-11-2014,NaN
17-11-2014,536.51
18-11-2014,535.03
19-11-2014,536.99
20-11-2014,534.83
21-11-2014,537.5
22-11-2014,NaN
23-11-2014,NaN
24-11-2014,539.27
25-11-2014,541.08
26-11-2014,540.37
27-11-2014,NaN
28-11-2014,541.83
29-11-2014,NaN
30-11-2014,NaN
01-12-2014,533.8
02-12-2014,533.75
03-12-2014,531.32
04-12-2014,537.31
05-12-2014,525.26
06-12-2014,NaN
07-12-2014,NaN
08-12-2014,526.98
09-12-2014,533.37
10-12-2014,526.06
11-12-2014,528.34
12-12-2014,518.66
13-12-2014,NaN
14-12-2014,NaN
15-12-2014,513.8
16-12-2014,495.39
17-12-2014,504.89
18-12-2014,511.1
19-12-2014,516.35
20-12-2014,NaN
21-12-2014,NaN
22-12-2014,524.87
23-12-2014,530.59
24-12-2014,528.77
25-12-2014,NaN
26-12-2014,534.03
27-12-2014,NaN
28-12-2014,NaN
29-12-2014,530.33
30-12-2014,530.42
31-12-2014,526.4
01-01-2015,NaN
02-01-2015,524.81
03-01-2015,NaN
04-01-2015,NaN
05-01-2015,513.87
06-01-2015,501.96
07-01-2015,501.1
08-01-2015,502.68
09-01-2015,496.17
10-01-2015,NaN
11-01-2015,NaN
12-01-2015,492.55
13-01-2015,496.18
14-01-2015,500.87
15-01-2015,501.79
16-01-2015,508.08
17-01-2015,NaN
18-01-2015,NaN
19-01-2015,NaN
20-01-2015,506.9
21-01-2015,518.04
22-01-2015,534.39
23-01-2015,539.95
24-01-2015,NaN
25-01-2015,NaN
26-01-2015,535.21
27-01-2015,518.63
28-01-2015,510
29-01-2015,510.66
30-01-2015,534.52
31-01-2015,NaN
01-02-2015,NaN
02-02-2015,528.48
03-02-2015,529.24
04-02-2015,522.76
05-02-2015,527.58
06-02-2015,531
07-02-2015,NaN
08-02-2015,NaN
09-02-2015,527.83
10-02-2015,536.94
11-02-2015,535.97
12-02-2015,542.93
13-02-2015,549.01
14-02-2015,NaN
15-02-2015,NaN
16-02-2015,NaN
17-02-2015,542.84
18-02-2015,539.7
19-02-2015,542.87
20-02-2015,538.95
21-02-2015,NaN
22-02-2015,NaN
23-02-2015,531.91
24-02-2015,536.09
25-02-2015,543.87
26-02-2015,555.48
27-02-2015,558.4
28-02-2015,NaN
01-03-2015,NaN
02-03-2015,571.34
03-03-2015,573.64
04-03-2015,573.37
05-03-2015,575.33
06-03-2015,567.68
07-03-2015,NaN
08-03-2015,NaN
09-03-2015,568.85
10-03-2015,555.01
11-03-2015,551.18
12-03-2015,555.51
13-03-2015,547.32
14-03-2015,NaN
15-03-2015,NaN
16-03-2015,554.51
17-03-2015,550.84
18-03-2015,559.5
19-03-2015,557.99
20-03-2015,560.36
21-03-2015,NaN
22-03-2015,NaN
23-03-2015,558.81
24-03-2015,570.19
25-03-2015,558.78
26-03-2015,555.17
27-03-2015,548.34
28-03-2015,NaN
29-03-2015,NaN
30-03-2015,552.03
31-03-2015,548
01-04-2015,542.56
02-04-2015,535.53
03-04-2015,NaN
04-04-2015,NaN
05-04-2015,NaN
06-04-2015,536.76
07-04-2015,537.02
08-04-2015,541.61
09-04-2015,540.78
10-04-2015,540.01
11-04-2015,NaN
12-04-2015,NaN
13-04-2015,539.17
14-04-2015,530.39
15-04-2015,532.53
16-04-2015,533.8
17-04-2015,524.05
18-04-2015,NaN
19-04-2015,NaN
20-04-2015,535.38
21-04-2015,533.97
22-04-2015,539.36
23-04-2015,547
24-04-2015,565.06
25-04-2015,NaN
26-04-2015,NaN
27-04-2015,555.37
28-04-2015,553.68
29-04-2015,549.08
30-04-2015,537.34
01-05-2015,537.9
02-05-2015,NaN
03-05-2015,NaN
04-05-2015,540.78
05-05-2015,530.8
06-05-2015,524.22
07-05-2015,530.7
08-05-2015,538.22
09-05-2015,NaN
10-05-2015,NaN
11-05-2015,535.7
12-05-2015,529.04
13-05-2015,529.62
14-05-2015,538.4
15-05-2015,533.85
16-05-2015,NaN
17-05-2015,NaN
18-05-2015,532.3
19-05-2015,537.36
20-05-2015,539.27
21-05-2015,542.51
22-05-2015,540.11
23-05-2015,NaN
24-05-2015,NaN
25-05-2015,NaN
26-05-2015,532.32
27-05-2015,539.79
28-05-2015,539.78
29-05-2015,532.11
30-05-2015,NaN
31-05-2015,NaN
01-06-2015,533.99
02-06-2015,539.18
03-06-2015,540.31
04-06-2015,536.7
05-06-2015,533.33
06-06-2015,NaN
07-06-2015,NaN
08-06-2015,526.83
09-06-2015,526.69
10-06-2015,536.69
11-06-2015,534.61
12-06-2015,532.33
13-06-2015,NaN
14-06-2015,NaN
15-06-2015,527.2
16-06-2015,528.15
17-06-2015,529.26
18-06-2015,536.73
19-06-2015,536.69
20-06-2015,NaN
21-06-2015,NaN
22-06-2015,538.19
23-06-2015,540.48
24-06-2015,537.84
25-06-2015,535.23
26-06-2015,531.69
27-06-2015,NaN
28-06-2015,NaN
29-06-2015,521.52
30-06-2015,520.51
01-07-2015,521.84
02-07-2015,523.4
03-07-2015,NaN
04-07-2015,NaN
05-07-2015,NaN
06-07-2015,522.86
07-07-2015,525.02
08-07-2015,516.83
09-07-2015,520.68
10-07-2015,530.13
11-07-2015,NaN
12-07-2015,NaN
13-07-2015,546.55
14-07-2015,561.1
15-07-2015,560.22
16-07-2015,579.85
17-07-2015,672.93
18-07-2015,NaN
19-07-2015,NaN
20-07-2015,663.02
21-07-2015,662.3
22-07-2015,662.1
23-07-2015,644.28
24-07-2015,623.56
25-07-2015,NaN
26-07-2015,NaN
27-07-2015,627.26
28-07-2015,628
29-07-2015,631.93
30-07-2015,632.59
31-07-2015,625.61
01-08-2015,NaN
02-08-2015,NaN
03-08-2015,631.21
04-08-2015,629.25
05-08-2015,643.78
06-08-2015,642.68
07-08-2015,635.3
08-08-2015,NaN
09-08-2015,NaN
10-08-2015,633.73
11-08-2015,660.78
12-08-2015,659.56
13-08-2015,656.45
14-08-2015,657.12
15-08-2015,NaN
16-08-2015,NaN
17-08-2015,660.87
18-08-2015,656.13
19-08-2015,660.9
20-08-2015,646.83
21-08-2015,612.48
22-08-2015,NaN
23-08-2015,NaN
24-08-2015,589.61
25-08-2015,582.06
26-08-2015,628.62
27-08-2015,637.61
28-08-2015,630.38
29-08-2015,NaN
30-08-2015,NaN
31-08-2015,618.25
01-09-2015,597.79
02-09-2015,614.34
03-09-2015,606.25
04-09-2015,600.7
05-09-2015,NaN
06-09-2015,NaN
07-09-2015,NaN
08-09-2015,614.66
09-09-2015,612.72
10-09-2015,621.35
11-09-2015,625.77
12-09-2015,NaN
13-09-2015,NaN
14-09-2015,623.24
15-09-2015,635.14
16-09-2015,635.98
17-09-2015,642.9
18-09-2015,629.25
19-09-2015,NaN
20-09-2015,NaN
21-09-2015,635.44
22-09-2015,622.69
23-09-2015,622.36
24-09-2015,625.8
25-09-2015,611.97
26-09-2015,NaN
27-09-2015,NaN
28-09-2015,594.89
29-09-2015,594.97
30-09-2015,608.42
01-10-2015,611.29
02-10-2015,626.91
03-10-2015,NaN
04-10-2015,NaN
05-10-2015,641.47
06-10-2015,645.44
07-10-2015,642.36
08-10-2015,639.16
09-10-2015,643.61
10-10-2015,NaN
11-10-2015,NaN
12-10-2015,646.67
13-10-2015,652.3
14-10-2015,651.16
15-10-2015,661.74
16-10-2015,662.2
17-10-2015,NaN
18-10-2015,NaN
19-10-2015,666.1
20-10-2015,650.28
21-10-2015,642.61
22-10-2015,651.79
23-10-2015,702
24-10-2015,NaN
25-10-2015,NaN
26-10-2015,712.78
27-10-2015,708.49
28-10-2015,712.95
29-10-2015,716.92
30-10-2015,710.81
31-10-2015,NaN
01-11-2015,NaN
02-11-2015,721.11
03-11-2015,722.16
04-11-2015,728.11
05-11-2015,731.25
06-11-2015,733.76
07-11-2015,NaN
08-11-2015,NaN
09-11-2015,724.89
10-11-2015,728.32
11-11-2015,735.4
12-11-2015,731.23
13-11-2015,717
14-11-2015,NaN
15-11-2015,NaN
16-11-2015,728.96
17-11-2015,725.3
18-11-2015,740
19-11-2015,738.41
20-11-2015,756.6
21-11-2015,NaN
22-11-2015,NaN
23-11-2015,755.98
24-11-2015,748.28
25-11-2015,748.15
26-11-2015,NaN
27-11-2015,750.26
28-11-2015,NaN
29-11-2015,NaN
30-11-2015,742.6
01-12-2015,767.04
02-12-2015,762.38
03-12-2015,752.54
04-12-2015,766.81
05-12-2015,NaN
06-12-2015,NaN
07-12-2015,763.25
08-12-2015,762.37
09-12-2015,751.61
10-12-2015,749.46
11-12-2015,738.87
12-12-2015,NaN
13-12-2015,NaN
14-12-2015,747.77
15-12-2015,743.4
16-12-2015,758.09
17-12-2015,749.43
18-12-2015,739.31
19-12-2015,NaN
20-12-2015,NaN
21-12-2015,747.77
22-12-2015,750
23-12-2015,750.31
24-12-2015,748.4
25-12-2015,NaN
26-12-2015,NaN
27-12-2015,NaN
28-12-2015,762.51
29-12-2015,776.6
30-12-2015,771
31-12-2015,758.88
01-01-2016,NaN
02-01-2016,NaN
03-01-2016,NaN
04-01-2016,741.84
05-01-2016,742.58
06-01-2016,743.62
07-01-2016,726.39
08-01-2016,714.47
09-01-2016,NaN
10-01-2016,NaN
11-01-2016,716.03
12-01-2016,726.07
13-01-2016,700.56
14-01-2016,714.72
15-01-2016,694.45
16-01-2016,NaN
17-01-2016,NaN
18-01-2016,NaN
19-01-2016,701.79
20-01-2016,698.45
21-01-2016,706.59
22-01-2016,725.25
23-01-2016,NaN
24-01-2016,NaN
25-01-2016,711.67
26-01-2016,713.04
27-01-2016,699.99
28-01-2016,730.96
29-01-2016,742.95
30-01-2016,NaN
31-01-2016,NaN
01-02-2016,752
02-02-2016,764.65
03-02-2016,726.95
04-02-2016,708.01
05-02-2016,683.57
06-02-2016,NaN
07-02-2016,NaN
08-02-2016,682.74
09-02-2016,678.11
10-02-2016,684.12
11-02-2016,683.11
12-02-2016,682.4
13-02-2016,NaN
14-02-2016,NaN
15-02-2016,NaN
16-02-2016,691
17-02-2016,708.4
18-02-2016,697.35
19-02-2016,700.91
20-02-2016,NaN
21-02-2016,NaN
22-02-2016,706.46
23-02-2016,695.85
24-02-2016,699.56
25-02-2016,705.75
26-02-2016,705.07
27-02-2016,NaN
28-02-2016,NaN
29-02-2016,697.77
01-03-2016,718.81
02-03-2016,718.85
03-03-2016,712.42
04-03-2016,710.89
05-03-2016,NaN
06-03-2016,NaN
07-03-2016,695.16
08-03-2016,693.97
09-03-2016,705.24
10-03-2016,712.82
11-03-2016,726.82
12-03-2016,NaN
13-03-2016,NaN
14-03-2016,730.49
15-03-2016,728.33
16-03-2016,736.09
17-03-2016,737.78
18-03-2016,737.6
19-03-2016,NaN
20-03-2016,NaN
21-03-2016,742.09
22-03-2016,740.75
23-03-2016,738.06
24-03-2016,735.3
25-03-2016,NaN
26-03-2016,NaN
27-03-2016,NaN
28-03-2016,733.53
29-03-2016,744.77
30-03-2016,750.53
31-03-2016,744.95
01-04-2016,749.91
02-04-2016,NaN
03-04-2016,NaN
04-04-2016,745.29
05-04-2016,737.8
06-04-2016,745.69
07-04-2016,740.28
08-04-2016,739.15
09-04-2016,NaN
10-04-2016,NaN
11-04-2016,736.1
12-04-2016,743.09
13-04-2016,751.72
14-04-2016,753.2
15-04-2016,759
16-04-2016,NaN
17-04-2016,NaN
18-04-2016,766.61
19-04-2016,753.93
20-04-2016,752.67
21-04-2016,759.14
22-04-2016,718.77
23-04-2016,NaN
24-04-2016,NaN
25-04-2016,723.15
26-04-2016,708.14
27-04-2016,705.84
28-04-2016,691.02
29-04-2016,693.01
30-04-2016,NaN
01-05-2016,NaN
02-05-2016,698.21
03-05-2016,692.36
04-05-2016,695.7
05-05-2016,701.43
06-05-2016,711.12
07-05-2016,NaN
08-05-2016,NaN
09-05-2016,712.9
10-05-2016,723.18
11-05-2016,715.29
12-05-2016,713.31
13-05-2016,710.83
14-05-2016,NaN
15-05-2016,NaN
16-05-2016,716.49
17-05-2016,706.23
18-05-2016,706.63
19-05-2016,700.32
20-05-2016,709.74
21-05-2016,NaN
22-05-2016,NaN
23-05-2016,704.24
24-05-2016,720.09
25-05-2016,725.27
26-05-2016,724.12
27-05-2016,732.66
28-05-2016,NaN
29-05-2016,NaN
30-05-2016,NaN
31-05-2016,735.72
01-06-2016,734.15
02-06-2016,730.4
03-06-2016,722.34
04-06-2016,NaN
05-06-2016,NaN
06-06-2016,716.55
07-06-2016,716.65
08-06-2016,728.28
09-06-2016,728.58
10-06-2016,719.41
11-06-2016,NaN
12-06-2016,NaN
13-06-2016,718.36
14-06-2016,718.27
15-06-2016,718.92
16-06-2016,710.36
17-06-2016,691.72
18-06-2016,NaN
19-06-2016,NaN
20-06-2016,693.71
21-06-2016,695.94
22-06-2016,697.46
23-06-2016,701.87
24-06-2016,675.22
25-06-2016,NaN
26-06-2016,NaN
27-06-2016,668.26
28-06-2016,680.04
29-06-2016,684.11
30-06-2016,692.1
01-07-2016,699.21
02-07-2016,NaN
03-07-2016,NaN
04-07-2016,NaN
05-07-2016,694.49
06-07-2016,697.77
07-07-2016,695.36
08-07-2016,705.63
09-07-2016,NaN
10-07-2016,NaN
11-07-2016,715.09
12-07-2016,720.64
13-07-2016,716.98
14-07-2016,720.95
15-07-2016,719.85
16-07-2016,NaN
17-07-2016,NaN
18-07-2016,733.78
19-07-2016,736.96
20-07-2016,741.19
21-07-2016,738.63
22-07-2016,742.74
23-07-2016,NaN
24-07-2016,NaN
25-07-2016,739.77
26-07-2016,738.42
27-07-2016,741.77
28-07-2016,745.91
29-07-2016,768.79
30-07-2016,NaN
31-07-2016,NaN
01-08-2016,772.88
02-08-2016,771.07
03-08-2016,773.18
04-08-2016,771.61
05-08-2016,782.22
06-08-2016,NaN
07-08-2016,NaN
08-08-2016,781.76
09-08-2016,784.26
10-08-2016,784.68
11-08-2016,784.85
12-08-2016,783.22
13-08-2016,NaN
14-08-2016,NaN
15-08-2016,782.44
16-08-2016,777.14
17-08-2016,779.91
18-08-2016,777.5
19-08-2016,775.42
20-08-2016,NaN
21-08-2016,NaN
22-08-2016,772.15
23-08-2016,772.08
24-08-2016,769.64
25-08-2016,769.41
26-08-2016,769.54
27-08-2016,NaN
28-08-2016,NaN
29-08-2016,772.15
30-08-2016,769.09
31-08-2016,767.05
01-09-2016,768.78
02-09-2016,771.46
03-09-2016,NaN
04-09-2016,NaN
05-09-2016,NaN
06-09-2016,780.08
07-09-2016,780.35
08-09-2016,775.32
09-09-2016,759.66
10-09-2016,NaN
11-09-2016,NaN
12-09-2016,769.02
13-09-2016,759.69
14-09-2016,762.49
15-09-2016,771.76
16-09-2016,768.88
17-09-2016,NaN
18-09-2016,NaN
19-09-2016,765.7
20-09-2016,771.41
21-09-2016,776.22
22-09-2016,787.21
23-09-2016,786.9
24-09-2016,NaN
25-09-2016,NaN
26-09-2016,774.21
27-09-2016,783.01
28-09-2016,781.56
29-09-2016,775.01
30-09-2016,777.29
01-10-2016,NaN
02-10-2016,NaN
03-10-2016,772.56
04-10-2016,776.43
05-10-2016,776.47
06-10-2016,776.86
07-10-2016,775.08
08-10-2016,NaN
09-10-2016,NaN
10-10-2016,785.94
11-10-2016,783.07
12-10-2016,786.14
13-10-2016,778.19
14-10-2016,778.53
15-10-2016,NaN
16-10-2016,NaN
17-10-2016,779.96
18-10-2016,795.26
19-10-2016,801.56
20-10-2016,796.97
21-10-2016,799.37
22-10-2016,NaN
23-10-2016,NaN
24-10-2016,813.11
25-10-2016,807.67
26-10-2016,799.07
27-10-2016,795.35
28-10-2016,795.37
29-10-2016,NaN
30-10-2016,NaN
31-10-2016,784.54
01-11-2016,783.61
02-11-2016,768.7
03-11-2016,762.13
04-11-2016,762.02
05-11-2016,NaN
06-11-2016,NaN
07-11-2016,782.52
08-11-2016,790.51
09-11-2016,785.31
10-11-2016,762.56
11-11-2016,754.02
12-11-2016,NaN
13-11-2016,NaN
14-11-2016,736.08
15-11-2016,758.49
16-11-2016,764.48
17-11-2016,771.23
18-11-2016,760.54
19-11-2016,NaN
20-11-2016,NaN
21-11-2016,769.2
22-11-2016,768.27
23-11-2016,760.99
24-11-2016,NaN
25-11-2016,761.68
26-11-2016,NaN
27-11-2016,NaN
28-11-2016,768.24
29-11-2016,770.84
30-11-2016,758.04
01-12-2016,747.92
02-12-2016,750.5
03-12-2016,NaN
04-12-2016,NaN
05-12-2016,762.52
06-12-2016,759.11
07-12-2016,771.19
08-12-2016,776.42
09-12-2016,789.29
10-12-2016,NaN
11-12-2016,NaN
12-12-2016,789.27
13-12-2016,796.1
14-12-2016,797.07
15-12-2016,797.85
16-12-2016,790.8
17-12-2016,NaN
18-12-2016,NaN
19-12-2016,794.2
20-12-2016,796.42
21-12-2016,794.56
22-12-2016,791.26
23-12-2016,789.91
24-12-2016,NaN
25-12-2016,NaN
26-12-2016,NaN
27-12-2016,791.55
28-12-2016,785.05
29-12-2016,782.79
30-12-2016,771.82