date,SP500
29-06-2007,1503.35
02-07-2007,1519.43
03-07-2007,1524.87
05-07-2007,1525.4
06-07-2007,1530.44
09-07-2007,1531.85
10-07-2007,1510.12
11-07-2007,1518.76
12-07-2007,1547.7
13-07-2007,1552.5
16-07-2007,1549.52
17-07-2007,1549.37
18-07-2007,1546.17
19-07-2007,1553.08
20-07-2007,1534.1
23-07-2007,1541.57
24-07-2007,1511.04
25-07-2007,1518.09
26-07-2007,1482.66
27-07-2007,1458.95
30-07-2007,1473.91
31-07-2007,1455.27
01-08-2007,1465.81
02-08-2007,1472.2
03-08-2007,1433.06
06-08-2007,1467.67
07-08-2007,1476.71
08-08-2007,1497.49
09-08-2007,1453.09
10-08-2007,1453.64
13-08-2007,1452.92
14-08-2007,1426.54
15-08-2007,1406.7
16-08-2007,1411.27
17-08-2007,1445.94
20-08-2007,1445.55
21-08-2007,1447.12
22-08-2007,1464.07
23-08-2007,1462.5
24-08-2007,1479.37
27-08-2007,1466.79
28-08-2007,1432.36
29-08-2007,1463.76
30-08-2007,1457.64
31-08-2007,1473.99
04-09-2007,1489.42
05-09-2007,1472.29
06-09-2007,1478.55
07-09-2007,1453.55
10-09-2007,1451.7
11-09-2007,1471.49
12-09-2007,1471.56
13-09-2007,1483.95
14-09-2007,1484.25
17-09-2007,1476.65
18-09-2007,1519.78
19-09-2007,1529.03
20-09-2007,1518.75
21-09-2007,1525.75
24-09-2007,1517.73
25-09-2007,1517.21
26-09-2007,1525.42
27-09-2007,1531.38
28-09-2007,1526.75
01-10-2007,1547.04
02-10-2007,1546.63
03-10-2007,1539.59
04-10-2007,1542.84
05-10-2007,1557.59
08-10-2007,1552.58
09-10-2007,1565.15
10-10-2007,1562.47
11-10-2007,1554.41
12-10-2007,1561.8
15-10-2007,1548.71
16-10-2007,1538.53
17-10-2007,1541.24
18-10-2007,1540.08
19-10-2007,1500.63
22-10-2007,1506.33
23-10-2007,1519.59
24-10-2007,1515.88
25-10-2007,1514.4
26-10-2007,1535.28
29-10-2007,1540.98
30-10-2007,1531.02
31-10-2007,1549.38
01-11-2007,1508.44
02-11-2007,1509.65
05-11-2007,1502.17
06-11-2007,1520.27
07-11-2007,1475.62
08-11-2007,1474.77
09-11-2007,1453.7
12-11-2007,1439.18
13-11-2007,1481.05
14-11-2007,1470.58
15-11-2007,1451.15
16-11-2007,1458.74
19-11-2007,1433.27
20-11-2007,1439.7
21-11-2007,1416.77
23-11-2007,1440.7
26-11-2007,1407.22
27-11-2007,1428.23
28-11-2007,1469.02
29-11-2007,1469.72
30-11-2007,1481.14
03-12-2007,1472.42
04-12-2007,1462.79
05-12-2007,1485.01
06-12-2007,1507.34
07-12-2007,1504.66
10-12-2007,1515.96
11-12-2007,1477.65
12-12-2007,1486.59
13-12-2007,1488.41
14-12-2007,1467.95
17-12-2007,1445.9
18-12-2007,1454.98
19-12-2007,1453
20-12-2007,1460.12
21-12-2007,1484.46
24-12-2007,1496.45
26-12-2007,1497.66
27-12-2007,1476.37
28-12-2007,1478.49
31-12-2007,1468.36
02-01-2008,1447.16
03-01-2008,1447.16
04-01-2008,1411.63
07-01-2008,1416.18
08-01-2008,1390.19
09-01-2008,1409.13
10-01-2008,1420.33
11-01-2008,1401.02
14-01-2008,1416.25
15-01-2008,1380.95
16-01-2008,1373.2
17-01-2008,1333.25
18-01-2008,1325.19
22-01-2008,1310.5
23-01-2008,1338.6
24-01-2008,1352.07
25-01-2008,1330.61
28-01-2008,1353.97
29-01-2008,1362.3
30-01-2008,1355.81
31-01-2008,1378.55
01-02-2008,1395.42
04-02-2008,1380.82
05-02-2008,1336.64
06-02-2008,1326.45
07-02-2008,1336.91
08-02-2008,1331.29
11-02-2008,1339.13
12-02-2008,1348.86
13-02-2008,1367.21
14-02-2008,1348.86
15-02-2008,1349.99
19-02-2008,1348.78
20-02-2008,1360.03
21-02-2008,1342.53
22-02-2008,1353.11
25-02-2008,1371.8
26-02-2008,1381.29
27-02-2008,1380.02
28-02-2008,1367.68
29-02-2008,1330.63
03-03-2008,1331.34
04-03-2008,1326.75
05-03-2008,1333.7
06-03-2008,1304.34
07-03-2008,1293.37
10-03-2008,1273.37
11-03-2008,1320.65
12-03-2008,1308.77
13-03-2008,1315.48
14-03-2008,1288.14
17-03-2008,1276.6
18-03-2008,1330.74
19-03-2008,1298.42
20-03-2008,1329.51
24-03-2008,1349.88
25-03-2008,1352.99
26-03-2008,1341.13
27-03-2008,1325.76
28-03-2008,1315.22
31-03-2008,1322.7
01-04-2008,1370.18
02-04-2008,1367.53
03-04-2008,1369.31
04-04-2008,1370.4
07-04-2008,1372.54
08-04-2008,1365.54
09-04-2008,1354.49
10-04-2008,1360.55
11-04-2008,1332.83
14-04-2008,1328.32
15-04-2008,1334.43
16-04-2008,1364.71
17-04-2008,1365.56
18-04-2008,1390.33
21-04-2008,1388.17
22-04-2008,1375.94
23-04-2008,1379.93
24-04-2008,1388.82
25-04-2008,1397.84
28-04-2008,1396.37
29-04-2008,1390.94
30-04-2008,1385.59
01-05-2008,1409.34
02-05-2008,1413.9
05-05-2008,1407.49
06-05-2008,1418.26
07-05-2008,1392.57
08-05-2008,1397.68
09-05-2008,1388.28
12-05-2008,1403.58
13-05-2008,1403.04
14-05-2008,1408.66
15-05-2008,1423.57
16-05-2008,1425.35
19-05-2008,1426.63
20-05-2008,1413.4
21-05-2008,1390.71
22-05-2008,1394.35
23-05-2008,1375.93
27-05-2008,1385.35
28-05-2008,1390.84
29-05-2008,1398.26
30-05-2008,1400.38
02-06-2008,1385.67
03-06-2008,1377.65
04-06-2008,1377.2
05-06-2008,1404.05
06-06-2008,1360.68
09-06-2008,1361.76
10-06-2008,1358.44
11-06-2008,1335.49
12-06-2008,1339.87
13-06-2008,1360.03
16-06-2008,1360.14
17-06-2008,1350.93
18-06-2008,1337.81
19-06-2008,1342.83
20-06-2008,1317.93
23-06-2008,1318
24-06-2008,1314.29
25-06-2008,1321.97
26-06-2008,1283.15
27-06-2008,1278.38
30-06-2008,1280
01-07-2008,1284.91
02-07-2008,1261.52
03-07-2008,1262.9
07-07-2008,1252.31
08-07-2008,1273.7
09-07-2008,1244.69
10-07-2008,1253.39
11-07-2008,1239.49
14-07-2008,1228.3
15-07-2008,1214.91
16-07-2008,1245.36
17-07-2008,1260.32
18-07-2008,1260.68
21-07-2008,1260
22-07-2008,1277
23-07-2008,1282.19
24-07-2008,1252.54
25-07-2008,1257.76
28-07-2008,1234.37
29-07-2008,1263.2
30-07-2008,1284.26
31-07-2008,1267.38
01-08-2008,1260.31
04-08-2008,1249.01
05-08-2008,1284.88
06-08-2008,1289.19
07-08-2008,1266.07
08-08-2008,1296.32
11-08-2008,1305.32
12-08-2008,1289.59
13-08-2008,1285.83
14-08-2008,1292.93
15-08-2008,1298.2
18-08-2008,1278.6
19-08-2008,1266.69
20-08-2008,1274.54
21-08-2008,1277.72
22-08-2008,1292.2
25-08-2008,1266.84
26-08-2008,1271.51
27-08-2008,1281.66
28-08-2008,1300.68
29-08-2008,1282.83
02-09-2008,1277.58
03-09-2008,1274.98
04-09-2008,1236.83
05-09-2008,1242.31
08-09-2008,1267.79
09-09-2008,1224.51
10-09-2008,1232.04
11-09-2008,1249.05
12-09-2008,1251.7
15-09-2008,1192.7
16-09-2008,1213.59
17-09-2008,1156.39
18-09-2008,1206.51
19-09-2008,1255.08
22-09-2008,1207.09
23-09-2008,1188.22
24-09-2008,1185.87
25-09-2008,1209.18
26-09-2008,1213.01
29-09-2008,1106.39
30-09-2008,1166.36
01-10-2008,1161.06
02-10-2008,1114.28
03-10-2008,1099.23
06-10-2008,1056.89
07-10-2008,996.23
08-10-2008,984.94
09-10-2008,909.92
10-10-2008,899.22
13-10-2008,1003.35
14-10-2008,998.01
15-10-2008,907.84
16-10-2008,946.43
17-10-2008,940.55
20-10-2008,985.4
21-10-2008,955.05
22-10-2008,896.78
23-10-2008,908.11
24-10-2008,876.77
27-10-2008,848.92
28-10-2008,940.51
29-10-2008,930.09
30-10-2008,954.09
31-10-2008,968.75
03-11-2008,966.3
04-11-2008,1005.75
05-11-2008,952.77
06-11-2008,904.88
07-11-2008,930.99
10-11-2008,919.21
11-11-2008,898.95
12-11-2008,852.3
13-11-2008,911.29
14-11-2008,873.29
17-11-2008,850.75
18-11-2008,859.12
19-11-2008,806.58
20-11-2008,752.44
21-11-2008,800.03
24-11-2008,851.81
25-11-2008,857.39
26-11-2008,887.68
28-11-2008,896.24
01-12-2008,816.21
02-12-2008,848.81
03-12-2008,870.74
04-12-2008,845.22
05-12-2008,876.07
08-12-2008,909.7
09-12-2008,888.67
10-12-2008,899.24
11-12-2008,873.59
12-12-2008,879.73
15-12-2008,868.57
16-12-2008,913.18
17-12-2008,904.42
18-12-2008,885.28
19-12-2008,887.88
22-12-2008,871.63
23-12-2008,863.16
24-12-2008,868.15
26-12-2008,872.8
29-12-2008,869.42
30-12-2008,890.64
31-12-2008,903.25
02-01-2009,931.8
05-01-2009,927.45
06-01-2009,934.7
07-01-2009,906.65
08-01-2009,909.73
09-01-2009,890.35
12-01-2009,870.26
13-01-2009,871.79
14-01-2009,842.62
15-01-2009,843.74
16-01-2009,850.12
20-01-2009,805.22
21-01-2009,840.24
22-01-2009,827.5
23-01-2009,831.95
26-01-2009,836.57
27-01-2009,845.71
28-01-2009,874.09
29-01-2009,845.14
30-01-2009,825.88
02-02-2009,825.44
03-02-2009,838.51
04-02-2009,832.23
05-02-2009,845.85
06-02-2009,868.6
09-02-2009,869.89
10-02-2009,827.16
11-02-2009,833.74
12-02-2009,835.19
13-02-2009,826.84
17-02-2009,789.17
18-02-2009,788.42
19-02-2009,778.94
20-02-2009,770.05
23-02-2009,743.33
24-02-2009,773.14
25-02-2009,764.9
26-02-2009,752.83
27-02-2009,735.09
02-03-2009,700.82
03-03-2009,696.33
04-03-2009,712.87
05-03-2009,682.55
06-03-2009,683.38
09-03-2009,676.53
10-03-2009,719.6
11-03-2009,721.36
12-03-2009,750.74
13-03-2009,756.55
16-03-2009,753.89
17-03-2009,778.12
18-03-2009,794.35
19-03-2009,784.04
20-03-2009,768.54
23-03-2009,822.92
24-03-2009,806.12
25-03-2009,813.88
26-03-2009,832.86
27-03-2009,815.94
30-03-2009,787.53
31-03-2009,797.87
01-04-2009,811.08
02-04-2009,834.38
03-04-2009,842.5
06-04-2009,835.48
07-04-2009,815.55
08-04-2009,825.16
09-04-2009,856.56
13-04-2009,858.73
14-04-2009,841.5
15-04-2009,852.06
16-04-2009,865.3
17-04-2009,869.6
20-04-2009,832.39
21-04-2009,850.08
22-04-2009,843.55
23-04-2009,851.92
24-04-2009,866.23
27-04-2009,857.51
28-04-2009,855.16
29-04-2009,873.64
30-04-2009,872.81
01-05-2009,877.52
04-05-2009,907.24
05-05-2009,903.8
06-05-2009,919.53
07-05-2009,907.39
08-05-2009,929.23
11-05-2009,909.24
12-05-2009,908.35
13-05-2009,883.92
14-05-2009,893.07
15-05-2009,882.88
18-05-2009,909.71
19-05-2009,908.13
20-05-2009,903.47
21-05-2009,888.33
22-05-2009,887
26-05-2009,910.33
27-05-2009,893.06
28-05-2009,906.83
29-05-2009,919.14
01-06-2009,942.87
02-06-2009,944.74
03-06-2009,931.76
04-06-2009,942.46
05-06-2009,940.09
08-06-2009,939.14
09-06-2009,942.43
10-06-2009,939.15
11-06-2009,944.89
12-06-2009,946.21
15-06-2009,923.72
16-06-2009,911.97
17-06-2009,910.71
18-06-2009,918.37
19-06-2009,921.23
22-06-2009,893.04
23-06-2009,895.1
24-06-2009,900.94
25-06-2009,920.26
26-06-2009,918.9
29-06-2009,927.23
30-06-2009,919.32
01-07-2009,923.33
02-07-2009,896.42
06-07-2009,898.72
07-07-2009,881.03
08-07-2009,879.56
09-07-2009,882.68
10-07-2009,879.13
13-07-2009,901.05
14-07-2009,905.84
15-07-2009,932.68
16-07-2009,940.74
17-07-2009,940.38
20-07-2009,951.13
21-07-2009,954.58
22-07-2009,954.07
23-07-2009,976.29
24-07-2009,979.26
27-07-2009,982.18
28-07-2009,979.62
29-07-2009,975.15
30-07-2009,986.75
31-07-2009,987.48
03-08-2009,1002.63
04-08-2009,1005.65
05-08-2009,1002.72
06-08-2009,997.08
07-08-2009,1010.48
10-08-2009,1007.1
11-08-2009,994.35
12-08-2009,1005.81
13-08-2009,1012.73
14-08-2009,1004.09
17-08-2009,979.73
18-08-2009,989.67
19-08-2009,996.46
20-08-2009,1007.37
21-08-2009,1026.13
24-08-2009,1025.57
25-08-2009,1028
26-08-2009,1028.12
27-08-2009,1030.98
28-08-2009,1028.93
31-08-2009,1020.62
01-09-2009,998.04
02-09-2009,994.75
03-09-2009,1003.24
04-09-2009,1016.4
08-09-2009,1025.39
09-09-2009,1033.37
10-09-2009,1044.14
11-09-2009,1042.73
14-09-2009,1049.34
15-09-2009,1052.63
16-09-2009,1068.76
17-09-2009,1065.49
18-09-2009,1068.3
21-09-2009,1064.66
22-09-2009,1071.66
23-09-2009,1060.87
24-09-2009,1050.78
25-09-2009,1044.38
28-09-2009,1062.98
29-09-2009,1060.61
30-09-2009,1057.08
01-10-2009,1029.85
02-10-2009,1025.21
05-10-2009,1040.46
06-10-2009,1054.72
07-10-2009,1057.58
08-10-2009,1065.48
09-10-2009,1071.49
12-10-2009,1076.19
13-10-2009,1073.19
14-10-2009,1092.02
15-10-2009,1096.56
16-10-2009,1087.68
19-10-2009,1097.91
20-10-2009,1091.06
21-10-2009,1081.4
22-10-2009,1092.91
23-10-2009,1079.6
26-10-2009,1066.95
27-10-2009,1063.41
28-10-2009,1042.63
29-10-2009,1066.11
30-10-2009,1036.19
02-11-2009,1042.88
03-11-2009,1045.41
04-11-2009,1046.5
05-11-2009,1066.63
06-11-2009,1069.3
09-11-2009,1093.08
10-11-2009,1093.01
11-11-2009,1098.51
12-11-2009,1087.24
13-11-2009,1093.48
16-11-2009,1109.3
17-11-2009,1110.32
18-11-2009,1109.8
19-11-2009,1094.9
20-11-2009,1091.38
23-11-2009,1106.24
24-11-2009,1105.65
25-11-2009,1110.63
27-11-2009,1091.49
30-11-2009,1095.63
01-12-2009,1108.86
02-12-2009,1109.24
03-12-2009,1099.92
04-12-2009,1105.98
07-12-2009,1103.25
08-12-2009,1091.94
09-12-2009,1095.95
10-12-2009,1102.35
11-12-2009,1106.41
14-12-2009,1114.11
15-12-2009,1107.93
16-12-2009,1109.18
17-12-2009,1096.08
18-12-2009,1102.47
21-12-2009,1114.05
22-12-2009,1118.02
23-12-2009,1120.59
24-12-2009,1126.48
28-12-2009,1127.78
29-12-2009,1126.2
30-12-2009,1126.42
31-12-2009,1115.1
04-01-2010,1132.99
05-01-2010,1136.52
06-01-2010,1137.14
07-01-2010,1141.69
08-01-2010,1144.98
11-01-2010,1146.98
12-01-2010,1136.22
13-01-2010,1145.68
14-01-2010,1148.46
15-01-2010,1136.03
19-01-2010,1150.23
20-01-2010,1138.04
21-01-2010,1116.48
22-01-2010,1091.76
25-01-2010,1096.78
26-01-2010,1092.17
27-01-2010,1097.5
28-01-2010,1084.53
29-01-2010,1073.87
01-02-2010,1089.19
02-02-2010,1103.32
03-02-2010,1097.28
04-02-2010,1063.11
05-02-2010,1066.19
08-02-2010,1056.74
09-02-2010,1070.52
10-02-2010,1068.13
11-02-2010,1078.47
12-02-2010,1075.51
16-02-2010,1094.87
17-02-2010,1099.51
18-02-2010,1106.75
19-02-2010,1109.17
22-02-2010,1108.01
23-02-2010,1094.6
24-02-2010,1105.24
25-02-2010,1102.94
26-02-2010,1104.49
01-03-2010,1115.71
02-03-2010,1118.31
03-03-2010,1118.79
04-03-2010,1122.97
05-03-2010,1138.7
08-03-2010,1138.5
09-03-2010,1140.45
10-03-2010,1145.61
11-03-2010,1150.24
12-03-2010,1149.99
15-03-2010,1150.51
16-03-2010,1159.46
17-03-2010,1166.21
18-03-2010,1165.83
19-03-2010,1159.9
22-03-2010,1165.81
23-03-2010,1174.17
24-03-2010,1167.72
25-03-2010,1165.73
26-03-2010,1166.59
29-03-2010,1173.22
30-03-2010,1173.27
31-03-2010,1169.43
01-04-2010,1178.1
05-04-2010,1187.44
06-04-2010,1189.44
07-04-2010,1182.45
08-04-2010,1186.44
09-04-2010,1194.37
12-04-2010,1196.48
13-04-2010,1197.3
14-04-2010,1210.65
15-04-2010,1211.67
16-04-2010,1192.13
19-04-2010,1197.52
20-04-2010,1207.17
21-04-2010,1205.94
22-04-2010,1208.67
23-04-2010,1217.28
26-04-2010,1212.05
27-04-2010,1183.71
28-04-2010,1191.36
29-04-2010,1206.78
30-04-2010,1186.69
03-05-2010,1202.26
04-05-2010,1173.6
05-05-2010,1165.9
06-05-2010,1128.15
07-05-2010,1110.88
10-05-2010,1159.73
11-05-2010,1155.79
12-05-2010,1171.67
13-05-2010,1157.44
14-05-2010,1135.68
17-05-2010,1136.94
18-05-2010,1120.8
19-05-2010,1115.05
20-05-2010,1071.59
21-05-2010,1087.69
24-05-2010,1073.65
25-05-2010,1074.03
26-05-2010,1067.95
27-05-2010,1103.06
28-05-2010,1089.41
01-06-2010,1070.71
02-06-2010,1098.38
03-06-2010,1102.83
04-06-2010,1064.88
07-06-2010,1050.47
08-06-2010,1062
09-06-2010,1055.69
10-06-2010,1086.84
11-06-2010,1091.6
14-06-2010,1089.63
15-06-2010,1115.23
16-06-2010,1114.61
17-06-2010,1116.04
18-06-2010,1117.51
21-06-2010,1113.2
22-06-2010,1095.31
23-06-2010,1092.04
24-06-2010,1073.69
25-06-2010,1076.76
28-06-2010,1074.57
29-06-2010,1041.24
30-06-2010,1030.71
01-07-2010,1027.37
02-07-2010,1022.58
06-07-2010,1028.06
07-07-2010,1060.27
08-07-2010,1070.25
09-07-2010,1077.96
12-07-2010,1078.75
13-07-2010,1095.34
14-07-2010,1095.17
15-07-2010,1096.48
16-07-2010,1064.88
19-07-2010,1071.25
20-07-2010,1083.48
21-07-2010,1069.59
22-07-2010,1093.67
23-07-2010,1102.66
26-07-2010,1115.01
27-07-2010,1113.84
28-07-2010,1106.13
29-07-2010,1101.53
30-07-2010,1101.6
02-08-2010,1125.86
03-08-2010,1120.46
04-08-2010,1127.24
05-08-2010,1125.81
06-08-2010,1121.64
09-08-2010,1127.79
10-08-2010,1121.06
11-08-2010,1089.47
12-08-2010,1083.61
13-08-2010,1079.25
16-08-2010,1079.38
17-08-2010,1092.54
18-08-2010,1094.16
19-08-2010,1075.63
20-08-2010,1071.69
23-08-2010,1067.36
24-08-2010,1051.87
25-08-2010,1055.33
26-08-2010,1047.22
27-08-2010,1064.59
30-08-2010,1048.92
31-08-2010,1049.33
01-09-2010,1080.29
02-09-2010,1090.1
03-09-2010,1104.51
07-09-2010,1091.84
08-09-2010,1098.87
